Filename,MPI_Procs,Memory(MB),OMP_Threads,Time(s)
data/data_10M_p512.bin,1,2048,16,64.5114
data/data_10M_p512.bin,1,2048,8,26.4986
data/data_10M_p512.bin,1,2048,4,33.3299
data/data_10M_p512.bin,1,2048,1,39.6908
data/data_10M_p512.bin,2,2048,16,47.855
data/data_10M_p512.bin,2,2048,8,
data/data_10M_p512.bin,2,2048,4,161.885
data/data_10M_p512.bin,2,2048,1,89.7169
data/data_10M_p512.bin,4,2048,16,
data/data_10M_p512.bin,4,2048,8,
data/data_10M_p512.bin,4,2048,4,160.445
data/data_10M_p512.bin,4,2048,1,101.225
data/data_10M_p512.bin,8,2048,16,21.7144
data/data_10M_p512.bin,8,2048,8,131.573
data/data_10M_p512.bin,8,2048,4,
data/data_10M_p512.bin,8,2048,1,
